"","stimnum","truth","type","level","stimtext","hit","response","rt","trialnum","uniqueid"
"1",106,"F","P",9,"A box turtle can hop",TRUE,"F",4168,1,"1:1"
"2",96,"F","P",9,"A boa constrictor eats leaves",TRUE,"F",2015,2,"1:1"
"3",60,"T","S",1,"A rattlesnake is a reptile",TRUE,"T",1049,3,"1:1"
"4",142,"F","S",9,"A newt is a plane",TRUE,"F",1267,4,"1:1"
"5",143,"F","S",9,"A sea turtle is a boat",TRUE,"F",1502,5,"1:1"
"6",30,"T","P",2,"An antilope has a mouth",TRUE,"T",1142,6,"1:1"
"7",44,"T","S",0,"A herring is a herring",TRUE,"T",1032,7,"1:1"
"8",72,"T","S",2,"A frog is an animal",TRUE,"T",894,8,"1:1"
"9",144,"F","S",9,"A frog is a chickadee",TRUE,"F",970,9,"1:1"
"10",18,"T","P",1,"A pig gives birth to live young",TRUE,"T",2016,10,"1:1"
"11",139,"F","S",9,"A sardine is an anaconda",TRUE,"F",969,11,"1:1"
"12",119,"F","S",9,"A salamander is a ferret",TRUE,"F",1033,12,"1:1"
"13",133,"F","S",9,"A hummingbird is a plant",TRUE,"F",861,13,"1:1"
"14",68,"T","S",2,"A pufferfish is an animal",TRUE,"T",969,14,"1:1"
"15",140,"F","S",9,"A pufferfish is a fox",TRUE,"F",924,15,"1:1"
"16",84,"F","P",9,"A crocodile is small",TRUE,"F",751,16,"1:1"
"17",95,"F","P",9,"A snapping turtle has six legs",TRUE,"F",1236,17,"1:1"
"18",112,"F","S",9,"A chipmunk is a plant",TRUE,"F",955,18,"1:1"
"19",132,"F","S",9,"A rattlesnake is a fish",TRUE,"F",766,19,"1:1"
"20",16,"T","P",1,"A deer has hair",TRUE,"T",830,20,"1:1"
"21",75,"F","P",9,"An owl can swim",TRUE,"F",1126,21,"1:1"
"22",135,"F","S",9,"A parrot is a rock",TRUE,"F",719,22,"1:1"
"23",43,"T","S",0,"A cod is a cod",TRUE,"T",736,23,"1:1"
"24",31,"T","P",2,"A trout can reproduce",TRUE,"T",1099,24,"1:1"
"25",12,"T","P",0,"A crocodile has sharp teeth",TRUE,"T",877,25,"1:1"
"26",99,"F","P",9,"A chicken has sharp teeth",TRUE,"F",1018,26,"1:1"
"27",74,"F","P",9,"A pigeon barks",TRUE,"F",922,27,"1:1"
"28",17,"T","P",1,"A cat is warm-blooded",TRUE,"T",954,28,"1:1"
"29",71,"T","S",2,"A sea turtle is an animal",TRUE,"T",970,29,"1:1"
"30",58,"T","S",1,"A komodo dragon is a reptile",TRUE,"T",940,30,"1:1"
"31",37,"T","S",0,"An ostrich is an ostrich",TRUE,"T",783,31,"1:1"
"32",45,"T","S",0,"A clownfish is a clownfish",TRUE,"T",680,32,"1:1"
"33",137,"F","S",9,"A rabbit is a building",TRUE,"F",735,33,"1:1"
"34",53,"T","S",1,"A wolf is a mammal",TRUE,"T",906,34,"1:1"
"35",64,"T","S",2,"A lion is an animal",TRUE,"T",737,35,"1:1"
"36",141,"F","S",9,"A piranha is an ostrich",TRUE,"F",969,36,"1:1"
"37",40,"T","S",0,"A chipmunk is a chipmunk",TRUE,"T",580,37,"1:1"
"38",138,"F","S",9,"A mouse is a leaf",TRUE,"F",705,38,"1:1"
"39",110,"F","S",9,"A penguin is a shark",TRUE,"F",799,39,"1:1"
"40",101,"F","P",9,"A rat has feathers",FALSE,"T",1033,40,"1:1"
"41",122,"F","S",9,"A sparrow is a reptile",TRUE,"F",1018,41,"1:1"
"42",26,"T","P",2,"A woodpecker has eyes",TRUE,"T",1173,42,"1:1"
"43",3,"T","P",0,"An owl is nocturnal",TRUE,"T",1111,43,"1:1"
"44",25,"T","P",2,"A robin breathes",FALSE,"F",1032,44,"1:1"
"45",103,"F","P",9,"A trout is furry",TRUE,"F",1143,45,"1:1"
"46",67,"T","S",2,"A sardine is an animal",TRUE,"T",800,46,"1:1"
"47",98,"F","P",9,"A woodpecker has fingers",TRUE,"F",1157,47,"1:1"
"48",1,"T","P",0,"A cardinal is red",FALSE,"F",1609,48,"1:1"
"49",15,"T","P",1,"A falcon can fly",TRUE,"T",1156,49,"1:1"
"50",7,"T","P",0,"A salmon swims upstream",TRUE,"T",1391,50,"1:1"
"51",100,"F","P",9,"A monkey has antlers",TRUE,"F",1237,51,"1:1"
"52",104,"F","P",9,"A barracuda is friendly",TRUE,"F",1219,52,"1:1"
"53",97,"F","P",9,"A robin has a shell",TRUE,"F",860,53,"1:1"
"54",86,"F","P",9,"A blue jay has gills",TRUE,"F",1251,54,"1:1"
"55",134,"F","S",9,"A peacock is a sport",TRUE,"F",829,55,"1:1"
"56",51,"T","S",1,"A crane is a bird",TRUE,"T",675,56,"1:1"
"57",80,"F","P",9,"A tiger shark has fur",TRUE,"F",782,57,"1:1"
"58",11,"T","P",0,"A garter snake has no legs",TRUE,"T",1376,58,"1:1"
"59",129,"F","S",9,"A mackerel is a reptile",TRUE,"F",1593,59,"1:1"
"60",130,"F","S",9,"A komodo dragon is a mammal",TRUE,"F",1424,60,"1:1"
"61",29,"T","P",2,"A rat has bones",TRUE,"T",844,61,"1:1"
"62",36,"T","P",2,"A gecko is alive",TRUE,"T",783,62,"1:1"
"63",127,"F","S",9,"A minnow is a mammal",FALSE,"T",1344,63,"1:1"
"64",136,"F","S",9,"A lion is a car",TRUE,"F",878,64,"1:1"
"65",85,"F","P",9,"An eagle eats grass",TRUE,"F",1049,65,"1:1"
"66",81,"F","P",9,"A goldfish is purple",TRUE,"F",955,66,"1:1"
"67",126,"F","S",9,"A goat is a fish",TRUE,"F",877,67,"1:1"
"68",90,"F","P",9,"A pig has scales",TRUE,"F",970,68,"1:1"
"69",8,"T","P",0,"A tiger shark is dangerous",TRUE,"T",1000,69,"1:1"
"70",14,"T","P",1,"A blue jay has a beak",TRUE,"T",1251,70,"1:1"
"71",125,"F","S",9,"A wolf is a reptile",TRUE,"F",891,71,"1:1"
"72",49,"T","S",1,"A chickadee is a bird",TRUE,"T",1017,72,"1:1"
"73",33,"T","P",2,"A parrotfish has muscles",FALSE,"F",1032,73,"1:1"
"74",63,"T","S",2,"A parrot is an animal",TRUE,"T",923,74,"1:1"
"75",32,"T","P",2,"A barracuda can move",FALSE,"F",706,75,"1:1"
"76",102,"F","P",9,"An antilope is scaly",TRUE,"F",1282,76,"1:1"
"77",89,"F","P",9,"A cat has no legs",TRUE,"F",784,77,"1:1"
"78",28,"T","P",2,"A monkey has a heart",TRUE,"T",1204,78,"1:1"
"79",73,"F","P",9,"A cardinal is blue",TRUE,"F",1813,79,"1:1"
"80",50,"T","S",1,"A sparrow is a bird",TRUE,"T",799,80,"1:1"
"81",13,"T","P",1,"An eagle has wings",TRUE,"T",706,81,"1:1"
"82",76,"F","P",9,"A squirrel has a beak",FALSE,"T",721,82,"1:1"
"83",34,"T","P",2,"A box turtle can see",TRUE,"T",1111,83,"1:1"
"84",116,"F","S",9,"A herring is an antelope",TRUE,"F",1047,84,"1:1"
"85",20,"T","P",1,"An angelfish has fins",TRUE,"T",1252,85,"1:1"
"86",35,"T","P",2,"A cobra has blood",TRUE,"T",908,86,"1:1"
"87",111,"F","S",9,"A mockingbird is an eagle",TRUE,"F",985,87,"1:1"
"88",83,"F","P",9,"A garter snake is tall",TRUE,"F",1531,88,"1:1"
"89",105,"F","P",9,"A parrotfish hunts rabbits",TRUE,"F",1471,89,"1:1"
"90",92,"F","P",9,"An angelfish climbs trees",TRUE,"F",1080,90,"1:1"
"91",78,"F","P",9,"A dog lays eggs",TRUE,"F",1018,91,"1:1"
"92",88,"F","P",9,"A deer is slimy",TRUE,"F",891,92,"1:1"
"93",69,"T","S",2,"A piranha is an animal",TRUE,"T",1081,93,"1:1"
"94",46,"T","S",0,"A monitor lizard is a monitor lizard",TRUE,"T",1267,94,"1:1"
"95",131,"F","S",9,"A chameleon is a bird",TRUE,"F",909,95,"1:1"
"96",118,"F","S",9,"A monitor lizard is a pigeon",TRUE,"F",1063,96,"1:1"
"97",109,"F","S",9,"An ostrich is a pig",TRUE,"F",1158,97,"1:1"
"98",65,"T","S",2,"A rabbit is an animal",TRUE,"T",783,98,"1:1"
"99",21,"T","P",1,"A catfish can swim",TRUE,"T",721,99,"1:1"
"100",120,"F","S",9,"An anaconda is a mockingbird",TRUE,"F",860,100,"1:1"
"101",52,"T","S",1,"A bear is a mammal",TRUE,"T",629,101,"1:1"
"102",23,"T","P",1,"A snapping turtle has scaly skin",FALSE,"F",862,102,"1:1"
"103",61,"T","S",2,"A hummingbird is an animal",TRUE,"T",814,103,"1:1"
"104",54,"T","S",1,"A goat is a mammal",TRUE,"T",659,104,"1:1"
"105",77,"F","P",9,"A moose has wings",TRUE,"F",720,105,"1:1"
"106",79,"F","P",9,"A salmon has legs",TRUE,"F",643,106,"1:1"
"107",59,"T","S",1,"A chameleon is a reptile",TRUE,"T",862,107,"1:1"
"108",113,"F","S",9,"A ferret is a mineral",TRUE,"F",1049,108,"1:1"
"109",114,"F","S",9,"A fox is a tree",TRUE,"F",752,109,"1:1"
"110",5,"T","P",0,"A moose has antlers",TRUE,"T",1148,110,"1:1"
"111",4,"T","P",0,"A squirrel climbs trees",TRUE,"T",846,111,"1:1"
"112",128,"F","S",9,"A sturgeon is a bird",TRUE,"F",1173,112,"1:1"
"113",107,"F","P",9,"A cobra has legs",TRUE,"F",798,113,"1:1"
"114",42,"T","S",0,"A fox is a fox",TRUE,"T",783,114,"1:1"
"115",39,"T","S",0,"A mockingbird is a mockingbird",TRUE,"T",640,115,"1:1"
"116",57,"T","S",1,"A mackerel is a fish",TRUE,"T",738,116,"1:1"
"117",10,"T","P",0,"A tortoise has a shell",TRUE,"T",969,117,"1:1"
"118",123,"F","S",9,"A crane is a fish",TRUE,"F",829,118,"1:1"
"119",91,"F","P",9,"A flounder can talk",TRUE,"F",783,119,"1:1"
"120",70,"T","S",2,"A newt is an animal",TRUE,"T",955,120,"1:1"
"121",6,"T","P",0,"A dog barks",TRUE,"T",658,121,"1:1"
"122",93,"F","P",9,"A catfish can fly",TRUE,"F",737,122,"1:1"
"123",94,"F","P",9,"An alligator walks on two legs",TRUE,"F",1163,123,"1:1"
"124",48,"T","S",0,"An anaconda is an anaconda",TRUE,"T",753,124,"1:1"
"125",22,"T","P",1,"An alligator is cold-blooded",TRUE,"T",828,125,"1:1"
"126",124,"F","S",9,"A bear is a bird",TRUE,"F",1237,126,"1:1"
"127",115,"F","S",9,"A cod is a rock",TRUE,"F",814,127,"1:1"
"128",41,"T","S",0,"A ferret is a ferret",TRUE,"T",673,128,"1:1"
"129",62,"T","S",2,"A peacock is an animal",TRUE,"T",768,129,"1:1"
"130",121,"F","S",9,"A chickadee is a mammal",FALSE,"T",736,130,"1:1"
"131",38,"T","S",0,"A penguin is a penguin",TRUE,"T",596,131,"1:1"
"132",2,"T","P",0,"A pigeon coos",TRUE,"T",1158,132,"1:1"
"133",108,"F","P",9,"A gecko has fangs",TRUE,"F",969,133,"1:1"
"134",19,"T","P",1,"A flounder has gills",TRUE,"T",893,134,"1:1"
"135",24,"T","P",1,"A boa constrictor lays eggs",TRUE,"T",924,135,"1:1"
"136",56,"T","S",1,"A sturgeon is a fish",FALSE,"F",921,136,"1:1"
"137",9,"T","P",0,"A goldfish is orange",TRUE,"T",971,137,"1:1"
"138",87,"F","P",9,"A falcon lives under water",TRUE,"F",844,138,"1:1"
"139",55,"T","S",1,"A minnow is a fish",FALSE,"F",846,139,"1:1"
"140",117,"F","S",9,"A clownfish is a mammal",FALSE,"T",1112,140,"1:1"
"141",27,"T","P",2,"A chicken has a brain",TRUE,"T",782,141,"1:1"
"142",66,"T","S",2,"A mouse is an animal",TRUE,"T",846,142,"1:1"
"143",47,"T","S",0,"A salamander is a salamander",TRUE,"T",831,143,"1:1"
"144",82,"F","P",9,"A tortoise runs fast",TRUE,"F",925,144,"1:1"
"145",121,"F","S",9,"A chickadee is a mammal",FALSE,"T",3479,1,"2:2"
"146",22,"T","P",1,"An alligator is cold-blooded",TRUE,"T",3662,2,"2:2"
"147",72,"T","S",2,"A frog is an animal",TRUE,"T",2257,3,"2:2"
"148",47,"T","S",0,"A salamander is a salamander",TRUE,"T",2310,4,"2:2"
"149",96,"F","P",9,"A boa constrictor eats leaves",TRUE,"F",3146,5,"2:2"
"150",142,"F","S",9,"A newt is a plane",TRUE,"F",2059,6,"2:2"
"151",69,"T","S",2,"A piranha is an animal",TRUE,"T",1637,7,"2:2"
"152",135,"F","S",9,"A parrot is a rock",TRUE,"F",1122,8,"2:2"
"153",125,"F","S",9,"A wolf is a reptile",TRUE,"F",1490,9,"2:2"
"154",14,"T","P",1,"A blue jay has a beak",TRUE,"T",1691,10,"2:2"
"155",103,"F","P",9,"A trout is furry",TRUE,"F",1755,11,"2:2"
"156",137,"F","S",9,"A rabbit is a building",TRUE,"F",1330,12,"2:2"
"157",134,"F","S",9,"A peacock is a sport",TRUE,"F",1258,13,"2:2"
"158",70,"T","S",2,"A newt is an animal",TRUE,"T",934,14,"2:2"
"159",24,"T","P",1,"A boa constrictor lays eggs",TRUE,"T",1566,15,"2:2"
"160",25,"T","P",2,"A robin breathes",TRUE,"T",1205,16,"2:2"
"161",132,"F","S",9,"A rattlesnake is a fish",TRUE,"F",1098,17,"2:2"
"162",32,"T","P",2,"A barracuda can move",TRUE,"T",1347,18,"2:2"
"163",81,"F","P",9,"A goldfish is purple",TRUE,"F",1556,19,"2:2"
"164",76,"F","P",9,"A squirrel has a beak",TRUE,"F",1434,20,"2:2"
"165",86,"F","P",9,"A blue jay has gills",TRUE,"F",1645,21,"2:2"
"166",62,"T","S",2,"A peacock is an animal",TRUE,"T",1122,22,"2:2"
"167",107,"F","P",9,"A cobra has legs",TRUE,"F",994,23,"2:2"
"168",99,"F","P",9,"A chicken has sharp teeth",TRUE,"F",1226,24,"2:2"
"169",102,"F","P",9,"An antilope is scaly",TRUE,"F",3015,25,"2:2"
"170",108,"F","P",9,"A gecko has fangs",TRUE,"F",1324,26,"2:2"
"171",39,"T","S",0,"A mockingbird is a mockingbird",TRUE,"T",1211,27,"2:2"
"172",112,"F","S",9,"A chipmunk is a plant",TRUE,"F",1074,28,"2:2"
"173",10,"T","P",0,"A tortoise has a shell",TRUE,"T",1507,29,"2:2"
"174",40,"T","S",0,"A chipmunk is a chipmunk",TRUE,"T",1058,30,"2:2"
"175",8,"T","P",0,"A tiger shark is dangerous",TRUE,"T",1984,31,"2:2"
"176",124,"F","S",9,"A bear is a bird",TRUE,"F",1100,32,"2:2"
"177",7,"T","P",0,"A salmon swims upstream",TRUE,"T",1486,33,"2:2"
